feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,anova_f_norm,mutual_information_norm,random_forest_importance_norm,composite_score,selected
indice_gravidade,231.34530704212827,3.796516023868342e-52,0.004501698735903448,1.7973076033329767e-05,0.001062643938424998,0.006472477594114993,8.258659196021976e-05,0.00253923604150007,False
qt_inconclusivos,2.148879652693891,0.14267920675725962,0.0035553847177800524,0.0003921404828032467,9.87050036387447e-06,0.00511188093080421,0.0018018922294825135,0.0023078812202168664,False
prop_alrm_hepat,54.469078373558865,1.5994802194093013e-13,0.004136786067490794,7.977983582255113e-07,0.00025019412196123877,0.005947811416151486,3.6658971093829477e-06,0.002067223811740703,False
prop_grav_extre,142.8968171937841,6.748317260380187e-33,0.0032809122429910964,3.670104256114138e-07,0.0006563713720959462,0.004717248360413806,1.6864191866160504e-06,0.0017917687172321227,False
prop_gestante,3.4019412718675444,0.06512466472286003,0.003083455192404605,7.061402719243084e-05,1.5626218303920763e-05,0.004433347457510625,0.0003244726634213615,0.001591148779745302,False
prop_epistaxe,10.622025331643085,0.0011181076046862077,0.0026995512246532627,0.00016246406842379917,4.87904033013812e-05,0.0038813758629335096,0.000746525174779877,0.0015588971470049224,False
prop_obito_agravo,2.6338276877977957,0.10461450351593779,0.00294878382048247,6.055521334091093e-06,1.2098023785650368e-05,0.004239718898943875,2.782522416294119e-05,0.0014265473822974888,False
prop_hematura,4.557817216064165,0.03277285081801712,0.0027492390002397116,2.7516578669476227e-05,2.0935530955973556e-05,0.0039528162309038824,0.00012643914989861124,0.0013667303039194892,False
prop_raca_preta,19.6171282364168,9.478417240823077e-06,0.0024290116667879946,9.243496957359732e-05,9.01078248625899e-05,0.0034923979838410958,0.00042474026710138626,0.0013357486919350241,False
prop_grav_orgao,70.7943010916969,4.050773431900693e-17,0.0024908351551702346,1.7951792069818743e-07,0.0003251811583816852,0.003581286904850549,8.248879178363776e-07,0.0013024309837166902,False
prop_grav_sang,14.502759141335174,0.0001400936400929663,0.002379888459160151,0.0,6.661587083403052e-05,0.003421769343548829,0.0,0.0011627950714609531,False
prop_grav_ast,24.866872573154296,6.160000780193945e-07,0.0023346840207880692,1.7788291613901472e-06,0.000114221601230222,0.0033567750532414098,8.173750439058889e-06,0.0011597234683035636,False
prop_gengivo,2.341065419097922,0.12600862035798668,0.0020483406137199456,5.9558536592790344e-05,1.075327184660706e-05,0.002945074627424481,0.0002736724949149023,0.0010765001313953301,False
prop_raca_indigena,3.977868940261194,0.04610637143199143,0.0018973905250896372,1.982560932406462e-05,1.8271640653803603e-05,0.002728040764474684,9.109901413497301e-05,0.0009458038064211535,False
prop_grav_insuf,105.61292365606765,9.398243110357428e-25,0.001482628215230486,1.3468459212811203e-07,0.0004851143711422913,0.0021317014901389535,6.188780057896574e-07,0.0008724782464290115,False
prop_con_fhd,29.748227237724258,4.938933547577751e-08,0.0016569654619309482,6.938097883109195e-06,0.0001366432444955564,0.00238236107206275,3.188067850989046e-05,0.0008502949983560655,False
prop_criterio_clinico_epi,10.415985182371896,0.0012499623075282803,0.0,0.0005154433385744137,4.784399415008019e-05,0.0,0.0023684709619276032,0.0008054383186925611,False
week_of_year_cos,25.838837997497,3.7225724025391863e-07,0.0005037012701034627,0.0003350637959645591,0.0001186861532876725,0.0007242144301816849,0.0015396238766615165,0.0007941748200436246,False
prop_grav_hemat,69.0424528284525,9.835430509346322e-17,0.0013898825563392059,7.672137010472162e-07,0.0003171343518059287,0.0019983531178150624,3.5253600862299275e-06,0.0007730042765690736,False
prop_sangram,67.69445667261225,1.9468549543019828e-16,0.0008266550623634572,0.0001199947719498988,0.000310942568785394,0.0011885527404435282,0.0005513780306725801,0.0006836244466338341,False
